ID,Año,Título y Medio,Ocasión y Lugar,# representaciones,Última representación,GP compositor,Título,Medio,Ocasión,Lugar,Facebook live,Universidad de Chile,# Intérpretes GP H,# Intérpretes GP M,# Intérpretes GP ND
RMCh238_147,2022,"El afilador (1929) para piano, de los Dos trozos para piano",Primer Ciclo Alumni Música UC. Instituto de Música de la Pontificia Universidad Católica de Chile. Centro Cultural Lo Prado,1,2022-08-24,unknown,El afilador (1929),"piano, de los Dos trozos",Primer Ciclo Alumni Música UC. Instituto de Música de la Pontificia Universidad Católica de Chile. Centro Cultural Lo Prado,,False,False,0.0,1.0,0.0
RMCh238_148,2022,Litost para electrónica,"Concierto GEMA: “Compositoras de América”, Temporada Virtual del Departamento de Música, Facultad de Artes de la Universidad de Chile, vía YouTube Música U. Chile",1,2022-06-08,unknown,Litost,electrónica,Concierto GEMA: “Compositoras de América”,Temporada Virtual del Departamento de Música,False,True,0.0,0.0,0.0
RMCh238_149,2022,"Sulpayki Amauta (Gracias maestro) (2014, rev.) para clarinete y piano","Concierto “Nuevas composiciones chilenas para clarinete y piano”, Facultad de Artes de la Universidad de Chile, Sala Isidora Zegers",1,2022-09-07,male,"Sulpayki Amauta (Gracias maestro) (2014, rev.)",clarinete y piano,Concierto “Nuevas composiciones chilenas para clarinete y piano”,Facultad de Artes de la Universidad de Chile,False,True,1.0,1.0,0.0
RMCh238_150,2022,Entorno II para saxofón y pista,"Concierto “Saxofones en el espacio sonoro”. Temporada virtual del Departamento de Música, Facultad de Artes de la Universidad de Chile, vía YouTube Música U. Chile",1,2022-06-22,male,Entorno II,saxofón y pista,Concierto “Saxofones en el espacio sonoro”. Temporada virtual del Departamento de Música,Facultad de Artes de la Universidad de Chile,False,True,1.0,0.0,0.0
RMCh238_151,2022,Dum aurora finem daret* (2022) para guitarra y órgano positivo,"Concierto “Dum Aurora Finem Daret”, 58ª Temporada de Conciertos Música UC. Instituto de Música de la Pontificia Universidad Católica de Chile. Centro de Extensión Oriente",1,2022-09-13,unknown,Dum aurora finem daret* (2022),guitarra y órgano positivo,Concierto “Dum Aurora Finem Daret”,58ª Temporada de Conciertos Música UC. Instituto de Música de la Pontificia Universidad Católica de Chile. Centro de Extensión Oriente,False,False,2.0,0.0,0.0
RMCh238_152,2022,Dum aurora finem daret* (2022) para guitarra y órgano positivo,"Concierto “Dum Aurora Finem Daret”, 58ª Temporada de Conciertos Música UC. Instituto de Música de la Pontificia Universidad Católica de Chile. Centro Cultural Gabriela Mistral (GAM)",1,2022-09-14,unknown,Dum aurora finem daret* (2022),guitarra y órgano positivo,Concierto “Dum Aurora Finem Daret”,58ª Temporada de Conciertos Música UC. Instituto de Música de la Pontificia Universidad Católica de Chile. Centro Cultural Gabriela Mistral (GAM),False,False,2.0,0.0,0.0
RMCh238_153,2022,Solo para un diálogo. Concierto para flauta y ensemble (2019),"XXII Festival Internacional de Música Contemporánea, Facultad de Artes de la Universidad de Chile, Sala Isidora Zegers",1,2022-09-26,unknown,Solo,un diálogo. Concierto,XXII Festival Internacional de Música Contemporánea,Facultad de Artes de la Universidad de Chile,False,True,0.0,0.0,1.0
RMCh238_154,2022,"Sexteto Lautaro (ca. 1941) para flauta, oboe, clarinete, fagot, corno y piano","Lanzamiento del disco Enrique Soro: El último de los románticos, sello Aula Records, Teatro Aula Magna USACH",1,2022-04-07,male,Sexteto Lautaro (ca. 1941),"flauta, oboe, clarinete, fagot, corno y piano",Lanzamiento del disco Enrique Soro: El último de los románticos,sello Aula Records,False,False,5.0,1.0,1.0
RMCh238_155,2022,"Tres aires chilenos (1942) para orquesta (I. Allegro ma non troppo, II. Moderato-allegro moderato, III. Allegro moderato)","IX Concierto de Temporada: “Chile: Unidos por nuestros campos, desiertos, mares y cordilleras”, Teatro Municipal de Antofagasta",1,2022-09-09,male,Tres aires chilenos (1942),"orquesta (I. Allegro ma non troppo, II. Moderato-allegro moderato, III. Allegro moderato)",IX Concierto de Temporada: “Chile: Unidos por nuestros campos,desiertos,False,False,1.0,0.0,1.0
RMCh238_156,2022,"Suite para orquesta de arcos (1902-1905) para orquesta de cuerdas (I. Sarabanda, II. Melodía, III. Danza fantástica)","Concierto “Entre arcos”, Teatro Regional Cervantes, Valdivia",1,2022-09-30,male,Suite,orquesta de arcos (1902-1905),Concierto “Entre arcos”,Teatro Regional Cervantes,False,False,1.0,0.0,1.0
